complaint,category,urgency
"Look, water is gushing out of a broken valve in Railway Quarters and has entered the ground floor houses. someone can get seriously hurt.",water_supply,high
Kindly note that the Green Park flyover expansion joint has come loose and vehicles jump over it. We request immediate action before something bad happens.,roads_transport,high
"my mother is bedridden in Dev Nagar n biometric verification is impossible, ration has stopped completely even after so many complaints. i am ready to show the spot to your team any time",ration_aadhar,high
"namaste sir, the entire Rajiv Nagar area has had no supply since last night and even the paani pumps have stopped to be very frank. Aap se request hai, dekh lijiye.",electricity,high
SIR MY NEW CARD APPLICATION FROM SECTOR 5 IN PROCESS FOR TWO MONTHS,ration_aadhar,medium
"Respected sir, supply timings in Patel Nagar keep changing without any information to residents. Please arrange a solution soon.",water_supply,medium
a wire has fallen on a parked vehicle in Ward 12 and it is sparking every few seconds. Koi sunwai nahi ho rahi.,electricity,high
"we are really fed up, the Model Town centre has no counselling or information desk for first time visitors.",healthcare,medium
sir requesting a shed outside Housing Board Colony centre for people waiting in queue. thank you,ration_aadhar,low
please share the timings of the Jawahar Ward electricity office counter. Awaiting your reply.,electricity,low
requesting signage in local language at Ashok Vihar hospital,healthcare,low
"Kindly note that requesting a board about waste segregation rules at the Shiv Colony collection point. No hurry, whenever possible",sanitation,low
It is requested to note that the ration distribution list for Jawahar Ward is not put up anywhere for people to check. Please do it urgently if possible.,ration_aadhar,medium
"Hello sir, the transformer in MG Road is making loud noises and throwing sparks, we are scared it will blast. kindly treat this as an emergency.",electricity,high
the one way rule at Sun City is not followed n no enforcement. this has been going on for a while now.,roads_transport,medium
"we are really fed up, auto drivers in Housing Board Colony overcharge passengers and no action is ever taken. Please share a complaint number so I can follow up. Please send someone immediately.",roads_transport,medium
water pressure in Model Town has completely stopped and the summer heat is making it dangerous for elderly people. Requesting urgent intervention.,water_supply,high
Kindly note that garbage has been dumped right next to the drinking water tank in Subhash Chowk. Thanks in advance.,sanitation,high
"we are really fed up, requesting a reflective board at the Teachers Colony turn for night visibility. no hurry, whenever possible.",roads_transport,low
Used syringes were found lying in the open in the Tilak Ward hospital compound. I have attached nothing but can share photos if needed. Someone can get seriously hurt.,healthcare,high
This is to inform the concerned department that stray dogs gather at the Gandhi Nagar garbage point and chase people on scooters like always. Please share a complaint number so I can follow up.,sanitation,medium
My uncle in Green Park has developed a skin infection after the sewage flooded the lane. Kripya jaldi karwa dijiye.,sanitation,high
It is requested to note that requesting a camp for Aadhaar updates in the Lajpat Nagar school for parents. I am available on my registered mobile number for any verification. Please let us know the action taken.,ration_aadhar,low
I would like to apply for a new domestic water connection in Gandhi Nagar. Thank you.,water_supply,low
a blocked sewer line in Bharat Nagar has been overflowing on the main road for three din. Koi sunwai nahi ho rahi.,sanitation,high
sir Krishna Colony lane gets water only when someone calls office repeatedly,water_supply,medium
The bins at the Rose Garden crossing are always overflowing by afternoon. We have complained earlier as well.,sanitation,medium
Just want to say that the main pipeline has burst in New Basti and teh whole road is flooded since morning. We request immediate action before something bad happens.,water_supply,high
"Bahut pareshani ho rahi hai, a speeding truck route through the narrow Old Market lane has already injured a pedestrian. Puri colony pareshan hai",roads_transport,high
I would like to request a zebra crossing near the Subhash Chowk market. Please inform at your convenience.,roads_transport,low
"hi, requesting a feedback or suggestion box at the Kisan Chowk health centre. Many residents of the area feel the same way. No hurry, whenever possible.",healthcare,low
Requesting a drinking water point near the bus stop in Shanti Kunj. Thanks in advance.,water_supply,low
"Respected sir, requesting an LED replacement for the old streetlight near the Sector 9 temple lane to be very frank. Kindly treat this as an emergency",electricity,low
"pls share rules regarding keeping bins outside shops in Ward 21 to be very frank. no hurry, whenever possible.",sanitation,low
"Hi, the pressure in Indira Colony is so low that water does not reach the first floor. we have complained earlier as well.",water_supply,medium
"hi, I want to know the load sanctioned on my connection in Dev Nagar. please inform at your convenience.",electricity,low
The supply to the dialysis unit near Ward 18 keeps failing in the middle of treatment.,electricity,high
The appointment system at teh Old Market hospital never works and everyone stands in one line. I am available on my registered mobile number for any verification. Please inform at ur convenience.,healthcare,medium
This is to inform the concerned department that the labour room in the Patel Nagar hospital is dirty and two women developed infections after delivery. I am available on my registered mobile number for any verification. This needs attention today itself.,healthcare,high
pls share schedule of next health camp near Sector 5. appreciate your help,healthcare,low
buses do not stop at Milan Vihar stop unless passengers wave repeatedly. thank you.,roads_transport,medium
pls note requesting a drinking water point near bus stop in Sector 5 even after so many complaints,water_supply,low
I wish to report that the Panchsheel Nagar office gave us a bill correction date three times and each time it was postponed. Please arrange a solution soon.,electricity,medium
"we are really fed up, buses do not stop at the Anand Vihar stop unless the passengers wave repeatedly. Many residents of the area feel the same way. Hoping for a permanent fix this time.",roads_transport,medium
"I would like to volunteer for a plantation and cleaning drive in Ward 12. Kindly forward this to the right department if it is not yours. no hurry, whenever possible",sanitation,low
pls share list of items n quantities available at Sector 9 ration shop honestly speaking. kindly treat this as an emergency.,ration_aadhar,low
"Hello sir, the railway crossing gate near New Basti is often left unmanned and people cross recklessly to be very frank. Requestnig urgent intervention.",roads_transport,high
life saving medicines are not available at the MG Road centre and patients are told to buy outside like always. Puri colony pareshan hai.,healthcare,high
It is requested to note that requesting a reflective board at the Housing Board Colony turn for night visibility. This was also discussed in ourr last residnets meeting.,roads_transport,low
requesting information about the documents needed for a new ration card in Old Market. Appreciate your help.,ration_aadhar,low
I want information about eligibility criteria for a priority household card in Sector 9,ration_aadhar,low
our complaint about the choked drain in Ward 21 has been closed without any work being done again and again.,sanitation,medium
I would like to bring to your notice that a senior citizen in our lane in Vivek Vihar has deevloped a skin infection after the sewage flooded the lane and nobody listens. Please do not delay this further.,sanitation,high
"hello sir, there are no lights on the Model Town bypass stretch and two accidents happened there this week",roads_transport,high
"look, requesting a speed breaker on the lane approaching the Sector 5 school. I am writing on behalf of a few families in the lane.",roads_transport,low
"Hi, I want to know why a meter testing fee is charged in Rose Garden adn what it covers. Many residents of teh area feel teh same way.",electricity,low
requesting nutrition advice sessions for young mothers at Bapu Nagar centre. I have already spoken to local office once. appreciate your help,healthcare,low
Submitting this complaint to inform that the Sector 14 shop keeps saying the machine has no network and asks us to come next week. Kindly forward this to the right department if it is not yours. Kindly treat this as an emergency.,ration_aadhar,medium
This is to inform the concerned department that the water quality in Civil Lines becomes poor every time it rains heavily. Appreciate your help.,water_supply,medium
oil spilled on Sector 5 turn has made it very slippery n two riders fell today,roads_transport,high
just want to say that the overhead tank in Subhash Chowk has not been cleaned in a long time. Please let us know the action taken.,water_supply,medium
MY ADDRESS CORRECTION REQUEST FROM BANK COLONY PENDING FOR FIVE WEEKS. PLEASE LET US KNOW THE ACTION TAKEN.,ration_aadhar,medium
I wish to report that the Civil Lines road was dug for cabling and repaired very poorly. I am available on my registered mobile number for any verification.,roads_transport,medium
"Please dhyan dijiye, requesting nutrition advice sessions for young mothers at the Bharat Nagar centre. I am available on my registered mobile number for any verification. Puri colony pareshan hai.",healthcare,low
Please note the Aadhaar of my child in Civil Lines shows the wrong date of birth and the school admission is stuck. kindly guide me.,ration_aadhar,high
The dialysis machine at the Station Road hospital has been out of order for 5 days and patients are suffering and nobody listens. Awaiting your reply.,healthcare,high
"Sir ji, the dealer in Model Town behaves rudely with people who ask for the register. Kripya jaldi karwa dijiye.",ration_aadhar,medium
the dealer in Railway Quarters is refusing to give our quota n says stock is over every time like always. someone can get seriously hurt.,ration_aadhar,high
I would like to bring to your notice that please share the grievance officer contact for the Sector 5 area even after so many complaints. I can be contacted in the evening after work hours.,ration_aadhar,low
The sanitation staff in Sector 14 does not use any safety gloves or equipment. Please let us know the action taken.,sanitation,medium
I want to know how to transfer my ration card from Milan Vihar to another district. Kindly forward this to the right department if it is not yours.,ration_aadhar,low
Please share the helpline for reporting overcharging by autos in Tilak Ward. Would appreciate a quick response.,roads_transport,low
I would like to bring to ur notice that requesting a cycle stand near teh Ward 7 bus stop again and again. Thank you.,roads_transport,low
"Bahut pareshani ho rahi hai, our card in Sector 14 shows a member who left the household years ago. Please share a complaint number so I can follow up. Puri colony pareshan hai.",ration_aadhar,medium
I wish to report that teh overhead tank in Teachers Colony has not been claened in a long time.,water_supply,medium
the timetable displayed at the Sun City bus stop is several years old. Puri colony pareshan hai.,roads_transport,medium
The community tap in Sector 9 has a broken handle so it cannot be closed properly. Please let us know the action taken.,water_supply,medium
I wish to report that many families in Model Town have diarrhoea after the supply resumed last week to be very frank. We request immediate action before something bad happens.,water_supply,high
a sewer line has broken right beside drinking water pipe in Subhash Chowk,water_supply,high
"Respected sir, power goes off in New Basti four to five times every evening and comes back after an hour and nobody listens. This has been going on for a while now.",electricity,medium
Submitting this complaint to inform that the Indira Colony centre is often closed on working days without any notice on the door to be very frank. I have already spoken to the local office once. Would appreciate a quick response.,ration_aadhar,medium
"we are really fed up, the traffic at the Tilak Ward crossing is unmanaged during school hours. Please share a complaint number so I can follow up. Please let us know the action taken.",roads_transport,medium
The only ventilator at the Patel Nagar fcaility has been non-functional for weeks.,healthcare,high
"We are really fed up, a senior citizen in our lane got a shock from a loose wire near the Patel Nagar bus stop yesterday evening. appreciate your help.",electricity,high
"Sir ji, our card was linked to a different address and now the family in Bank Colony cannot draw any ration. Please send someone immediately.",ration_aadhar,high
"Look, there is knee-deep sewage water outside the health centre in Dev Nagar. i am ready to show the spot to your team any time.",sanitation,high
"We are really fed up, please confirm the last date of payment for the current cycle in Rose Garden.",electricity,low
my electricity bill for Subhash Chowk shows almost double units this month without any change in usage. This has been going on for a while now.,electricity,medium
This is to inform the concerned department that raw sewage is coming out of the taps in a few houses of Krishna Colony. Someone can get seriously hurt.,water_supply,high
"Hello sir, our entire lane in Ward 18 has not received the monthly quota this month. Please do not delay this further.",ration_aadhar,high
Kindly tell me whether water bills for Mill Area can be paid at the common service centre. I am a regular taxpayer of this ward.,water_supply,low
"We are really fed up, a patient was bleeding in the MG Road casualty and waited over an hour with no attention to be very frank. this needs attention today itself.",healthcare,high
please note the overhead tank in Bharat Nagar has not been cleaned in a long time. Someone can get seriously hurt.,water_supply,medium
Just want to say that the sewage pump in Ashok Vihar has failed and dirty water is spreading towards the drinking water line. kindly guide me.,sanitation,high
The bus shelter in Milan Vihar has no seating and a leaking roof.,roads_transport,medium
Just want to say that teh one way rule at Station Road is not followed and there is no enforceemnt.,roads_transport,medium
This is to inform the concerned department that garbage has been piling up at the Dev Nagar market for ten weeks and now blocks the main entrance. Hoping for a permanent fix this time.,sanitation,high
This is to inform the concerned department that there is no footpath along the Nehru Colony market road so people walk on the carriageway.,roads_transport,medium
"look, a stretch of the Dev Nagar road has caved in after the rain and vehicles are falling in again and again. Please do not delay this further.",roads_transport,high
This is to inform the concerned department that the garbage vehicle has not come to Teachers Colony for eight days and residents are dumping on the road. We request immediate action before something bad happens,sanitation,high
The two-day power cut in Bank Colony has spoiled all the medicines kept in our fridge. requesting urgent intervention.,electricity,high
The Lajpat Nagar lane gets water only when someone calls the office repeatedly. I am writing on behalf of a few families in the lane. requesting the department to act.,water_supply,medium
Requesting an LED replacement for the old streetlight near the Bapu Nagar temple lane. I am available on my registered mobile number for any verification. I am ready to show the spot to your team any time.,electricity,low
requesting that meter reader visit Bharat Nagar on weekends so people are at home honestly speaking. appreciate your help.,water_supply,low
the widow pension for my wife in Shanti Kunj stopped due to a seeding error. we request immediate action before something bad happens.,ration_aadhar,high
Kindly note that requesting that the bill be delivered by post as well for elderly residents of Ward 7. Kindly guide me.,electricity,low
I want to know why a meter testing fee is charged in Sector 5 and what it covers. I can be contacted in the evening after work hours. We have complained earlier as well.,electricity,low
"We are really fed up, I would like to volunteer for a plantation and cleaning drive in Gandhi Nagar. Kindly guide me.",sanitation,low
Submitting this complaint to inform that lab reports from the Gandhi Nagar hospital take 2 days when they were promised the same day. This was also discussed in our last residents meeting. We have complained earlier as well.,healthcare,medium
please note the bins at the Kisan Chowk crossing are always overflowing by afternoon. Requesting the department to act.,sanitation,medium
This is to inform the concerned department that I would like to know the process to add a newborn to the family card in Ward 12. Kindly look into the matter.,ration_aadhar,low
It is requested to note that requesting a tariff booklet or rate chart for households in Subhash Chowk. Hoping for a permanent fix this time.,electricity,low
I would like to bring to your notice that the emergency ward in Indira Colony was locked at night and the staff could not be found. Kindly treat this as an emergency.,healthcare,high
Kindly note that requseting a watar quality test report for teh supply given to Krishna Colony again and again. Kindly guide me,water_supply,low
the Sun City shop does not display stock n rate board as required,ration_aadhar,medium
"hi, requesting road name boards at the lane entries in Sector 14. Appreciate your help.",roads_transport,low
I want information on the penalty for spitting and littering in Bank Colony. Please share a complaint number so I can follow up. Thank you.,sanitation,low
Just want to say that our entire lane in Shiv Colony has not received the monthly quota this month,ration_aadhar,high
"hello sir, the ambulance for Subhash Chowk did not arrive even after 48 calls and we had to arrange a private vehicle. appreciate your help",healthcare,high
please note the widow pension for my uncle in Jawahar Ward has been stopped due to a seeding error. we request immediate action before something bad happens,ration_aadhar,high
Smoke is coming out of teh feeder box in Tilak Ward and there is a strong burning smell like always. Requesting urgnt intervention.,electricity,high
The vaccination day at Sector 9 is changed without informing anyone.,healthcare,medium
"Respected sir, supply in Sector 11 stops midway whenever there is a power cut and never resumes that day. Please do it urgently if possible",water_supply,medium
stray dogs gather at the Lajpat Nagar garbage point and chase people on scooters. Hoping for a permanent fix this time.,sanitation,medium
the overhead tank in Panchsheel Nagar has not been cleaned in a long time. I am available on my registered mobile number for any verification,water_supply,medium
I wish to report that I want to know the load sanctioned on my connection in Ward 21. Appreciate your help,electricity,low
Please note the school in Civil Lines has had no water for 20 days and children are being sent home. Please inform at your convenience.,water_supply,high
"hi, I would like to surrender an extra ration card held at my old Tilak Ward address. We request immediate action before something bad happens.",ration_aadhar,low
"This is to inform the concerned department that please share the garbage collection timings for Rose Garden and nobody listens. No hurry, whenever possible.",sanitation,low
"Hi, doctors at the Railway Quarters government hospital often do not turn up before eleven. kindly look into the matter.",healthcare,medium
The septic tank at the Kisan Chowk school has overflowed and the children are being kept out honestly speaking. Please do it urgently if possible.,sanitation,high
"Look, supply in Ashok Vihar stops midway whenever there is a power cut and never resumes that day.",water_supply,medium
"Hi, billing staff at the Shanti Kunj office keep sending us back for the same document again and again. hoping for a permanent fix this time.",electricity,medium
"Hi, contsruction debris has been lying on the Ward 18 roadsdie for 4 weeks. pleasee do it urgently if possible.",sanitation,medium
A pole in Bapu Nagar is tilted adn needs straightening before the next storm. pleasee do not delay this further.,electricity,medium
"We are really fed up, plz share details of teh parking charges applicable in the Rose Garden market.",roads_transport,low
"Hello sir, I would like to volunteer for a plantation and cleaning drive in Rose Garden",sanitation,low
It is requested to note that our ration in Tilak Ward was drawn by someone else using ourr card number honestly sepaking. Someone can get seriously hurt.,ration_aadhar,high
It is requested to note that the repair team left an open junction box on the Teachers Colony road and it is right next to a puddle. I am ready to show the spot to your team any time.,electricity,high
This is to inform the concerned department that requesting a shed outside the Sector 11 centre for people waiting in the queue to be very frank. I have already spoken to the local office once.,ration_aadhar,low
requesting one more dustbin near Teachers Colony bus stop even after so many complaints. Please share a complaint number so I can follow up,sanitation,low
"Namaste sir, requesting information about home composting support for households in Gandhi Nagar. Kripya ek baar dekh lijiye.",sanitation,low
Our card was linked to a different address and now the family in Lajpat Nagar cannot draw any ration. Requesting urgent intervention,ration_aadhar,high
Submitting this complaint to inform that requesting a first aid training session for volunteers in Shanti Kunj. Please share a complaint number so I can follow up.,healthcare,low
"hi, supply in Station Road is cut every morning without any prior notice or announcement. hoping for a permanent fix this time.",electricity,medium
"madam ji, please share the list of specialists visiting the Milan Vihar centre and on which din. Please share a complaint number so I can follow up. Puri colony pareshan hai.",healthcare,low
I wish to report that reqeusting that teh Panchsheel Nagar bus stop be shifted fifty metres for easier access. Kindly treat this as an emergency.,roads_transport,low
just want to say that I would like to apply for a new domestic water connection in Nehru Colony. Kindly forward this to the right department if it is not yours. Please send someone immediately.,water_supply,low
Requesting a speed breaker on the lane approaching the Station Road school. Kindly guide me.,roads_transport,low
teh garbge vheicle skips our lane in Sector 14 about three days a week. We have complained earlier as well.,sanitation,medium
"we are really fed up, cattle waste is not being cleared from the Jawahar Ward road near the dairy. would appreciate a quick response.",sanitation,medium
kindly let me know the current water tariff slabs applicable in Tilak Ward.,water_supply,low
"Hello sir, our ration card in Bank Colony was cancelled without any notice and the family has no other support. I am ready to show the spot to your team any time.",ration_aadhar,high
"the linemen in Ward 3 attend the fault but never repair it properly, same issue repeats. please let us know the action taken.",electricity,medium
"We are really fed up, dust from the uncleaned road in Shiv Colony enters the shops all day. please let us know the action taken.",sanitation,medium
"madam ji, I want to know the timings of the sample collection counter at the Bank Colony hospital. Puri colony pareshan hai.",healthcare,low
the main pipeline has burst in Railway Quarters and the whole sadak is flooded tab se morning and nobody listens. Bahut dikkat ho rahi hai humein.,water_supply,high
"Namaste sir, requesting signage in the local language at the Vivek Vihar hospital. Aap se request hai, dekh lijiye.",healthcare,low
This is to inform the concerned department that the supply to the dialysis unit near Teachers Colony keeps failing in the middle of treatment.,electricity,high
Submitting this complaint to inform that please share the documents required for a name transfer of a water connection in Nehru Colony and nobody listens. I am a regular taxpayer of this ward. Please send someone immediately.,water_supply,low
Kindly note that requesting a shed outside the Sector 11 centre for people waiting in the queue. Thanks in advance.,ration_aadhar,low
please note there is no footpath along the Tilak Ward market road so people walk on the carriageway. Kindly look into the matter.,roads_transport,medium
Please note the ultrasound machine at Patel Nagar works only twice a week and the slots are always full. I am writing on behalf of a few families in the lane. I am ready to show the spot to your team any time.,healthcare,medium
"Hi, the Dev Nagar centre gives only two days of medicine at a time for chronic patients like always. The same thing happened last year as well.",healthcare,medium
PLEASE INFORM WHETHER EYE CHECK UP CAMPS ARE PLANNED FOR SHIV COLONY THIS YEAR. PLEASE INFORM AT YOUR CONVENIENCE.,healthcare,low
"Respected sir, supply in Gandhi Nagar stops midway whenever there is a power cut and never resumes that day. We have complained earlier as well",water_supply,medium
the transformer load in Bharat Nagar is not enough for the new houses and it trips daily even after so many complaints. Please arrange a solution soon.,electricity,medium
"Hello sir, water supply to the health centre in Rajiv Nagar has been cut off and they cannot run the ward.",water_supply,high
my husband was given wrong medicine at Ashok Vihar health centre n had a severe reaction,healthcare,high
"hi, please share details of the parking charges applicable in the Green Park market. I am writing on behalf of a few families in the lane. awaiting your reply.",roads_transport,low
"Hi, requesting a reflective board at the Sector 9 turn for night visibility. I can be contacted in the evening after work hours. Kindly treat this as an emergency.",roads_transport,low
"just want to say that requesting signage in the local language at the Indira Colony hospital. The same thing happened last year as well. No hurry, whenever possible.",healthcare,low
pls note garbage point in Gandhi Nagar is right in front of a school gate. The same thing happened last year as well. please arrange a solution soon.,sanitation,medium
"hi, the dealer in MG Road behaves rudely with people who ask for the register.",ration_aadhar,medium
I would like to bring to your notice that requesting a repair estimate for shifting my water line inside the plot in Milan Vihar. Awaiting your reply.,water_supply,low
Please share the fare chart for auto rickshaws operating from Station Road,roads_transport,low
There is no zebra crossing near the Railway Quarters school gate. Please arrange a solution soon.,roads_transport,medium
"Look, a wire has fallen on a parked vehicle in MG Road and it is sparking every few seconds. appreciate your help.",electricity,high
the Railway Quarters shop refuses to serve without a mobile OTP but our registered number is deactivated. please arrange a solution soon,ration_aadhar,high
Supply in Rose Garden stops midway whenever there is a power cut and never resumes that day again and again. Requesting the departmet to act,water_supply,medium
The road patch work done in Green Park last month has already come off.,roads_transport,medium
"Requesting an awareness programme on hygiene in the Rajiv Nagar school and nobody listens. Kindly forward this to the right department if it is not yours. no hurry, whenever possible.",sanitation,low
please note encroachment by shops has narrowed the Sun City road to half its width. kindly look into the matter.,roads_transport,medium
the side drain along Bharat Nagar road is above road level so water stands on road,roads_transport,medium
Submitting this complaint to inform that a live wire is hanging at head height right outside teh Nehru Colony school gate even after so many complaints. pls send someone immediately.,electricity,high
I wish to report that a small dump has formed near the Patel Nagar bus stop as there is no bin there. This has been going on for a while now.,sanitation,medium
pls note garbage piling up at Teachers Colony market for 15 weeks n now blocks main entrance. requesting urgent intervention.,sanitation,high
I would like to bring to your notice that the bins at the Model Town crossing are always overflowing by afternoon. Please do it urgently if possible.,sanitation,medium
This is to inform the concerned department that there is a dead animal found in the overhead tank that supplies Bapu Nagar. Please let us know the action taken.,water_supply,high
The overhead tank in Sector 11 has not been cleaned in a long time. I checked with the neighbours before writing this. Puri colony pareshan hai.,water_supply,medium
Please tell me whether garden waste is collected separately in Old Market. Please inform at your convenience.,sanitation,low
"I wish to report that I want information on the penalty for spitting and littering in Old Market. No hurry, whenever possible.",sanitation,low
"Hi, the drain in Patel Nagar is open in one stretch adn smells very bad in the evening. Kindly treat it as important.",sanitation,medium
It is requested to note that the line over our terrace in Sector 9 hangs so low that my mother can touch it while drying clothes. Requesting urgent intervention.,electricity,high
the dealer in Anand Vihar is refusing to give our quota n says stock is over every time n nobody listens,ration_aadhar,high
requesting a wheelchair at entrance of Ward 18 hospital. The same thing happened last year as well. thank you.,healthcare,low
"RESPECTED SIR, REQUESTING A BOARD ABOUT WASTE SEGREGATION RULES AT THE STATION ROAD COLLECTION POINT. I AM AVAILABLE ON MY REGISTERED MOBILE NUMBER FOR ANY VERIFICATION. NO HURRY, WHENEVER POSSIBLE.",sanitation,low
This is to inform the concerned department that the voltage in Kisan Chowk is so low that neither the fan nor the motor runs properly. I am writing on behalf of a few families in the lane. We have complained earlier as well.,electricity,medium
I wish to report that our card in Rose Garden shows a member who left the household years ago to be very frank. This was also discussed in our last residents meeting. Awaiting your reply.,ration_aadhar,medium
Buses do not stop at the Teachers Colony stop unless the passengers wave repeatedly.,roads_transport,medium
Requesting a token system at the Civil Lines centre to avoid crowding again and again. Kripya jaldi karwa dijiye.,ration_aadhar,low
the dealer in New Basti is refusing to give our quota n says stock is over every time again n again. kindly treat this as an emergency.,ration_aadhar,high
just want to say that a sewer line has broken right beside the drinking water pipe in Model Town honestly speaking. this has been going on for a while now.,water_supply,high
requesting that Kisan Chowk bus stop be shifted fifty metres for easier access,roads_transport,low
"We are really fed up, people are dumping household waste in the empty plot in Bapu Nagar every night honestly speaking.",sanitation,medium
"please dhyan dijiye, the garbage vehicle in Station Road does not use its bell so logon miss it.",sanitation,medium
The dealer in Milan Vihar is refusing to give our quota and says the stock is over every time. Kripya ek baar dekh lijiye.,ration_aadhar,high
The tanker for Ward 18 is scheduled at ten but usually arrives after two.,water_supply,medium
the tank on our Jawahar Ward building is overflowing with dirty water n motor cannot be switched off,water_supply,high
PLEASE NOTE AN UNDERGROUND CABLE HAS BURST NEAR WARD 7 CHOWK AND SPARKS ARE COMING OUT ON THE ROAD.,electricity,high
the Civil Lines Aadhaar centre gives only ten tokens a day n people return empty handed,ration_aadhar,medium
"Requesting an awareness programme on hygiene in the Bank Colony school. Aap se request hai, dekh lijiye.",sanitation,low
Just want to say that the timetable displayed at the Kisan Chowk bus stop is several years old as usual,roads_transport,medium
"Just want to say that the transformer in Mill Area is making loud noises and throwing sparks, we are scared it will blast. requesting urgent intervention.",electricity,high
The intensive care unit in Rose Garden has no trained staff at night like always. Someone can get seriously hurt.,healthcare,high
the tank on our Bank Colony building is overflowing with dirty water n motor cannot be switched off. I have attached nothing but can share photos if needed,water_supply,high
please note please share the garbage collection timings for Panchsheel Nagar. thanks in advance.,sanitation,low
the blood bank attached to Mill Area says storage unit has not been working properly,healthcare,high
"bahut pareshani ho rahi hai, water pressure in Krishna Colony has completely stopped and the summer heat is making it dangerous for elderly logon even after so many complaints. Aap se request hai, dekh lijiye.",water_supply,high
Requesting a first aid training session for volunteers in Subhash Chowk. I checked with the neighbours before writing this.,healthcare,low
a pole in Vivek Vihar is tilted n needs straightening before next storm like always,electricity,medium
Requesting a speed breaker on the lane approaching teh Rose Garden school. I checked with the neighbours before writing this. plz do it urgently if possilbe.,roads_transport,low
Requesting the Rajiv Nagar office to open a separate counter for senior citizens. I am a regular taxpayer of this ward.,electricity,low
kindly inform whether Bharat Nagar office accepts cash payments on Saturdays honestly speaking. kindly treat it as important.,electricity,low
pls note pls share updated timetable for buses passing through Housing Board Colony n nobody listens. This was also discussed in our last residents meeting,roads_transport,low
The Ward 18 centre is often closed on working days without any notice on the door. Would appreciate a quick response.,ration_aadhar,medium
sir Nehru Colony centre is often closed on working days without any notice on door. this has been going on for a while now.,ration_aadhar,medium
"we are really fed up, requesting a notice board at the Rajiv Nagar office showing the scheduled maintenance days like always. I can be contacted in the evening after work hours. Please do it urgently if possible.",electricity,low
"THE STREET POLE IN MODEL TOWN IS LEAKING CURRENT, TWO PEOPLE GOT SHOCKS JUST BY TOUCHING IT. SOMEONE CAN GET SERIOUSLY HURT.",electricity,high
I wish to report that people are dumping household waste in the empty plot in Housing Board Colony every night. We request immediate action before something bad happens.,sanitation,medium
I wish to report that the sewage pump in Sun City has failed and dirty water is spreading towards the drinking water line. Requesting the department to act,sanitation,high
There was no doctor on duty at the Green Park health centre last night when an emergency case came. pleae do not delay this further.,healthcare,high
"we are really fed up, our ration in Sun City was drawn by someone else using our card number. please send someone immediately.",ration_aadhar,high
I need a duplicate copy of my last three bills for my Sector 9 address. This needs attention today itself.,electricity,low
"Hi, the X-ray machine at the Old Market hospital has been broken for three weeks and accident cases are being shifted. this needs attention today itself.",healthcare,high
Submitting this complaint to inform that the garbage point in Tilak Ward is right in front of a school gate.,sanitation,medium
"Respected sir, requesting an awareness programme on hygiene in the Lajpat Nagar school. I have already spoken to the local office once. Appreciate your help.",sanitation,low
"we are really fed up, the Tilak Ward centre gives only two days of medicine at a time for chronic patients. Requesting the department to act.",healthcare,medium
"Please dhyan dijiye, an old couple on the ground floor in Sector 4 has developed a skin infection after the sewage flooded the lane. Please do it urgently if possible.",sanitation,high
The Sector 11 lane gets water only when someone calls the office repeatedly. Hoping for a permanent fix this time.,water_supply,medium
Requesting an SMS alert facility for supply timings in Vivek Vihar. Kripya ek baar dekh lijiye.,water_supply,low
I wish to report that a stretch of the Panchsheel Nagar road has caved in after the rain and vehicles are falling in. This needs attention today itself.,roads_transport,high
the sewage pump in Jawahar Ward has failed and dirty paani is spreading towards the drinking water line. Bahut dikkat ho rahi hai humein.,sanitation,high
Just want to say that encroachment by shops has narrowed the Ward 7 road to half its width.,roads_transport,medium
This is to inform the concerned department that the road divider in Mill Area is broken and vehicles are coming head on every day. Kindly treat this as an emergency.,roads_transport,high
A patient was bleeding in the Milan Vihar casualty and waited over an hour with no attention. someone can get seriously hurt.,healthcare,high
"Sewage seems to be mixing with the drinking water line in Sector 5, the water smells foul. This needs attention today itself.",water_supply,high
Requesting a board about waste segregation rules at the Sector 9 collection point. Awaiting your reply.,sanitation,low
"We are really fed up, requesting a speed breaker on the lane approaching the Ward 7 school. would appreciate a quick response",roads_transport,low
A child from Ward 21 with high fever was kept waiting as the staff had left the counter. kindly treat this as an emergency.,healthcare,high
"hello sir, a manhole on the Shiv Colony road is open right in the middle of the carriageway. I am ready to show the spot to your team any time.",roads_transport,high
I need a duplicate copy of my last three bills for my Sector 4 address. Koi sunwai nahi ho rahi.,electricity,low
I want information on the penalty for spitting and littering in Indira Colony. I am a regular taxpayer of this ward. Would appreciate a quick response.,sanitation,low
just want to say that the community tap in Station Road has a broken handle so it cannot be closed properly.,water_supply,medium
water pressure in Station Road has completely stopped and the summer heat is making it dangerous for elderly people. Requesting urgent intervention.,water_supply,high
requesting a drinking water point near the bus stop in Rajiv Nagar. Please share a complaint number so I can follow up. kindly treat this as an emergency.,water_supply,low
I wish to report that there has been no water at all in Gandhi Nagar for 2 days and no tanker has been sent. Please do not delay this further.,water_supply,high
I would like to volunteer for a plantation and cleaning drive in Krishna Colony. Requesting the department to act.,sanitation,low
The Shanti Kunj shop does not display the stock and rate board as requierd again and again. teh same thing happened last year as well. Please arrange a soultion soon,ration_aadhar,medium
"Madam ji, the sewage pump in Railway Quarters has failed and dirty water is spreading towards the drinking water line. Koi sunwai nahi ho rahi.",sanitation,high
